name,product_id,brand_id,price_current,price_old,discount_pct,discount_amount,installment_6m,installment_12m,installment_18m,in_stock,special_offer,category,url,image_url,offset
SAMSUNG Galaxy Tab S9+ 5G,20230901045946226,23,1799.99,1899.99,5%,-100,345.16,172.58,121.39,False,15 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20230901045946226-samsung-galaxy-tab-s9-5g.html,https://soliton.az/images/articles/2023/09/01/thumb400x400-20230901045946226.jpg?2024-11-06+10%3A16%3A37,30
Samsung Galaxy Tab S9 5G 8/128GB,20230901040629184,23,1799.99,1849.99,3%,-50,336,168,118.17,False,15 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20230901040629184-samsung-galaxy-tab-s9-5g-8-128gb.html,https://soliton.az/images/articles/2023/09/01/thumb400x400-20230901040629184.jpg?2024-11-06+10%3A15%3A36,30
Xiaomi Pad 5 6/128GB,20230223110403308,44,899.99,,,,181.5,99.75,72.5,False,,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20230223110403308-xiaomi-pad-5-6-128gb.html,https://soliton.az/images/articles/2023/02/23/thumb400x400-20230223110403308.jpg?2023-02-23+11%3A16%3A09,30
XİAOMİ REDMİ PAD 4GB/128GB,20221103122531806,44,399.99,429.99,7%,-30,78.17,39.08,28.94,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20221103122531806-xiaomi-redmi-pad-4gb-128gb.html,https://soliton.az/images/articles/2022/11/03/thumb400x400-20221103122531806.jpg?2024-09-16+11%3A01%3A58,30
XİAOMİ REDMİ PAD 6GB/128GB,20221103111307990,44,599.99,699.99,14%,-100,127.17,63.58,47.06,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20221103111307990-xiaomi-redmi-pad-6gb-128gb.html,https://soliton.az/images/articles/2022/11/03/thumb400x400-20221103111307990.jpg?2023-01-10+12%3A14%3A03,30
SAMSUNG GALAXY TAB S6 LITE SM-P619 128GB GRAY,20220901121032237,23,809.99,899.99,10%,-90,163.5,81.75,60.5,False,12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20220901121032237-samsung-galaxy-tab-s6-lite-sm-p619-128gb-gray.html,https://soliton.az/images/articles/2022/09/01/thumb400x400-20220901121032237.jpg?2025-05-20+15%3A47%3A05,30
Samsung Galaxy Tab S7 FE SM - T735 Black,20220725062504083,23,899.99,,,,163.5,81.75,57.5,False,15 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20220725062504083-samsung-galaxy-tab-s7-fe-sm-t735-black.html,https://soliton.az/images/articles/2022/07/25/thumb400x400-20220725062504083.jpg?2023-09-05+10%3A31%3A35,30
Samsung Galaxy Tab S8 5G SM-X706,20220512111303124,23,1349.99,1399.99,4%,-50,254.33,127.17,89.44,False,15 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20220512111303124-samsung-galaxy-tab-s8-5g-sm-x706.html,https://soliton.az/images/articles/2022/05/12/thumb400x400-20220512111303124.jpg?2023-08-01+11%3A17%3A51,30
SAMSUNG GALAXY TAB A8 32GB,20220127044752680,23,349.99,,,,63.5,31.75,23.5,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20220127044752680-samsung-galaxy-tab-a8-32gb.html,https://soliton.az/images/articles/2022/01/27/thumb400x400-20220127044752680.jpg?2024-04-01+11%3A10%3A05,30
SAMSUNG GALAXY TAB A8 WIFI 32GB,20220127033543529,23,479.99,,,,87.17,43.58,32.28,False,İLKİN ÖDƏNİŞSİZ; 12 AY 0%,PLANŞETLƏR,https://soliton.az/az/komputer-ve-aksesuarlar/plansetler/20220127033543529-samsung-galaxy-tab-a8-wifi-32gb.html,https://soliton.az/images/articles/2022/01/27/thumb400x400-20220127033543529.jpg?2023-01-06+13%3A55%3A32,30
