name,product_id,category,price_current,price_old,installment_monthly,installment_term,in_stock,promo_labels,url,image_url,page
HONOR Pad 10 (LTE) 8GB/256GB (+Keyboard) Gray,6039,Planşetlər,769,869,42.72,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; Yeni məhsul; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/honor-pad-10--lte--8gb-256gb--keyboard--gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=fb91ec68-1e85-4cf0-97a7-22afefd98516.png,3
Apple iPad 11-inch (A16) 128 GB Pink,6001,Planşetlər,899,999,49.94,18 ay,True,18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-11-inch--a16--128-gb-pink,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=f1fed147-281e-42ae-a84c-e83513287ac8.webp,4
Apple iPad Mini 6 64GB,4452,Planşetlər,1149,1289,63.83,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-mini-6-64gb,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=c8b4290c-8807-4982-ac77-3876d7bcd010.webp,4
Apple iPad Pro Wi-Fi 128GB Space Grey,4451,Planşetlər,2229,2499,123.83,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-pro-wi-fi-128gb-space-grey,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=45dd9300-149f-4012-9c9e-23ee64aa6043.webp,4
"Apple iPad Air 13"" M3 Wi-Fi 8/256 GB Starlight (20...",4400,Planşetlər,2189,2459,121.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m3-wi-fi-8-256-gb-starlight--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=1e279c96-4b2d-42e5-b35f-c6823d5880b8.webp,4
"Apple iPad Air 13"" M3 Wi-Fi 8/256 GB Blue (2025)",4399,Planşetlər,2189,2459,121.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m3-wi-fi-8-256-gb-blue--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=ca40e928-df00-4fd5-9d9c-321e638f7c5f.webp,4
"Apple iPad Air 13"" M3 Wi-Fi 8/256 GB Purple (2025)",4398,Planşetlər,2189,2459,121.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m3-wi-fi-8-256-gb-purple--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=0c123ae7-c42f-4315-a1bc-7526baafa3b5.webp,4
"Apple iPad Air 13"" M3 Wi-Fi 8/256 GB Space Gray (2...",4397,Planşetlər,2189,2459,121.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m3-wi-fi-8-256-gb-space-gray--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=86477b20-d454-4c8f-99d9-fbafc399dbaa.webp,4
"Apple iPad Air 13"" M3 Wi-Fi 8/128 GB Starlight (20...",4396,Planşetlər,1899,2129,105.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m3-wi-fi-8-128-gb-starlight--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=4b6680f3-6c46-43e8-9634-68a522b6853f.webp,4
"Apple iPad Air 13"" M3 Wi-Fi 8/128 GB Blue (2025)",4395,Planşetlər,1899,2129,105.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m3-wi-fi-8-128-gb-blue--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=05507807-85d0-4276-949c-3f4932d2aa7d.webp,4
"Apple iPad Air 13"" M3 Wi-Fi 8/128 GB Purple (2025)",4394,Planşetlər,1899,2129,105.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m3-wi-fi-8-128-gb-purple--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=80a3f074-f821-44b3-a3eb-14e56ecd69b3.webp,5
"Apple iPad Air 13"" M3 Wi-Fi 8/128 GB Space Gray (2...",4393,Planşetlər,1899,2129,105.5,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m3-wi-fi-8-128-gb-space-gray--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=81409a4d-101e-49af-b695-abcda9a51089.webp,5
"Apple iPad Air 11"" M3 Wi-Fi 8/128 GB Starlight (20...",4288,Planşetlər,1469,1539,81.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m3-wi-fi-8-128-gb-starlight--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=cf3bbf8c-8611-4b16-9ef0-e32135bb0cc3.webp,5
"Apple iPad Air 11"" M3 Wi-Fi 8/128 GB Blue (2025)",4287,Planşetlər,1469,1539,81.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m3-wi-fi-8-128-gb-blue--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=63e4ee00-6b88-4002-89f9-3c3914e8d0a9.webp,5
"Apple iPad Air 11"" M3 Wi-Fi 8/128 GB Purple (2025)",4286,Planşetlər,1469,1539,81.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m3-wi-fi-8-128-gb-purple--2025,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=f277c7a0-7eb2-4a15-a962-a83bfa405cec.webp,5
