name,product_id,price_current,price_old,discount_pct,installment_monthly,installment_term,url,image_url,page
"Planşet G-tab C30 10.1"" 14GB/128GB Gray",1184027,249.00,290.00,-14 %,83.00,3 ay,https://birmarket.az/product/1184027-planshet-g-tab-c30-10-1-14gb-128gb-boz-gtabc30boz,https://strgimgr.b-cdn.net/img/product/280/11a9068e-330e-4f73-b30d-55dc75084da9.jpeg,14
Planşet Umiio S10 12GB/512GB Black,1244632,,399.00,,133.00,3 ay,https://birmarket.az/product/1244632-android-11-inc-planset-12gb-512gb,https://strgimgr.b-cdn.net/img/product/280/00cfb850-bfd3-47e3-aeba-1c5b26a4e4fc.jpeg,14
"Planşet Android Tab 11"" 12GB/512GB",1219365,178.97,249.00,-28 %,29.83,6 ay,https://birmarket.az/product/1219365-android-11-inch-ekran-planshet,https://strgimgr.b-cdn.net/img/product/280/90edda5b-be97-4104-94a7-c339c7124797.jpeg,14
Planşet Umiio 16 Max 14.1 12/512GB,1220740,438.97,512.00,-14 %,24.39,18 ay,https://birmarket.az/product/1220740-14-1-inc-planset-android15-12ram-512gb,https://strgimgr.b-cdn.net/img/product/280/56d6f8ab-af03-4208-a076-1400930f1e35.jpeg,14
Planşet Modio M127 8GB/256GB Blue,1082803,179.00,238.67,-25 %,9.95,18 ay,https://birmarket.az/product/1082803-planshet-modio-m127-8gb-256-blue,https://strgimgr.b-cdn.net/img/product/280/d7d45a81-b77e-44d4-9f7f-e08659107180.jpeg,14
Planşet Smartbarry Bpad12-Ev 5G 8GB/512GB Black,1925477,,888.00,,49.34,18 ay,https://birmarket.az/product/1925477-planshet-smartbarry-bpad12-ev-5g-black,https://strgimgr.b-cdn.net/img/product/280/ec67370e-7127-4c56-869b-6cc15a5c90b4.jpeg,14
Planşet Tab 10 kids,1717552,144.98,199.00,-27 %,48.33,3 ay,https://birmarket.az/product/1717552-tab-10-kids,https://strgimgr.b-cdn.net/img/product/280/27e8ccc3-ab7a-40f3-bdb1-8aed530e0226.jpeg,14
Planşet Modio M71 6GB/128GB Green,1813864,189.99,220.00,-14 %,10.56,18 ay,https://birmarket.az/product/1813864-planshet-modio-m71-green,https://strgimgr.b-cdn.net/img/product/280/01dd905e-ad09-47cc-8c45-5978d44c8136.jpeg,14
Planşet Atouch Q40 4GB/256GB Pink,1782237,98.00,150.00,-35 %,5.45,18 ay,https://birmarket.az/product/1782237-planshet-atouch-q40-pink,https://strgimgr.b-cdn.net/img/product/280/2007aa4b-6c9a-4895-b23a-e13741c3bd36.jpeg,14
Planşet Lenosed Max 1 4GB/128GB,1628907,,249.99,,83.33,3 ay,https://birmarket.az/product/1628907-lenosed-max1-tablet,https://strgimgr.b-cdn.net/img/product/280/0ab69c54-b16b-4b70-8eda-88371e9fb5d8.jpeg,14
"Planşet Modio M36 10″ 12GB/512GB, Qızılı",1127107,197.97,250.00,-21 %,11.00,18 ay,https://birmarket.az/product/1127107-planshet-modio-m36-10-12gb-ram-512gb-yaddash-qizil-m36_g,https://strgimgr.b-cdn.net/img/product/280/3aa2efa3-e506-4e09-bbc5-b76a52b57901.jpeg,14
Planşet Discovery Note 22 Plus 10.1″ 16GB/1TB Grey,1178073,,249.00,,83.00,3 ay,https://birmarket.az/product/1178073-planshet-discovery-note-22-plus-grey-disc_note22_grey,https://strgimgr.b-cdn.net/img/product/280/2d400db4-dcf0-4bdb-8374-8b7477001c54.jpeg,14
Planşet Umiio 16 Max 18GB/512GB Grey,1179192,439.00,499.00,-12 %,146.34,3 ay,https://birmarket.az/product/1179192-planshet-umiio-16max-18gb-512gb-gray-umiio16maxgray,https://strgimgr.b-cdn.net/img/product/280/3b4b5160-4512-4e36-b089-9d9c0f6ec4af.jpeg,14
Planşet Apple iPad Air 13 M3 2025 Wi-Fi 256GB - Space Grey (MCNN4),1125896,,2196.00,,732.00,3 ay,https://birmarket.az/product/1125896-planshet-apple-ipad-air-13-m3-2025-wi-fi-256gb-space-grey-mcnn4,https://strgimgr.b-cdn.net/img/product/280/deb764a8-7805-4c4a-abf9-c44c95fbaec2.jpeg,14
"Planşet Modio M3 Kids 7"" 16GB, Yaşıl",1127114,112.00,149.33,-25 %,6.23,18 ay,https://birmarket.az/product/1127114-planshet-modio-m3-kids-7-android-5-1-16gb-green-m3_g,https://strgimgr.b-cdn.net/img/product/280/f3b21a28-ac44-4b91-b9d6-ae9dc6a7026f.jpeg,14
Planşet Modio M71 Purple Kids M71Purple,1237823,,127.99,,7.12,18 ay,https://birmarket.az/product/1237823-planshet-modio-m71-purple-kids,https://strgimgr.b-cdn.net/img/product/280/b3e70491-22ee-4a1f-9ddf-45aab214428a.jpeg,15
Planşet Apple iPad Air 11-inch M3 Wi-Fi 512 GB Space Gray,1344856,,2599.00,,216.59,12 ay,https://birmarket.az/product/1344856-ipad-air-11-inch-m3-wi-fi-512-gb-space-grey-mca74qa-a,https://strgimgr.b-cdn.net/img/product/280/1c5c5933-cab9-460f-b668-8e1f30355556.jpeg,15
Planşet Modio M60 Kids tab orange,1278517,,119.98,,6.67,18 ay,https://birmarket.az/product/1278517-modio-m60-kids-tab-orange,https://strgimgr.b-cdn.net/img/product/280/743cca50-decd-45fd-ab2e-d62293391e58.jpeg,15
Planşet G-Tab C30 14GB/128GB 4G Gray + Şəbəkə enerji toplama cihazı 45W,1264816,,260.00,,86.67,3 ay,https://birmarket.az/product/1264816-gtab-c30-14-128-4g-gray-45w-adapter-hediyyeli,https://strgimgr.b-cdn.net/img/product/280/87f06f5d-d82f-486a-957d-fed78fd3cb10.jpeg,15
"Crelander 7"" Android 2GB/RAM 32GB Grey",1295417,109.90,200.00,-45 %,6.11,18 ay,https://birmarket.az/product/1295417-planshet-7-android-4gb-2gb-2gb-ram-32gb-1024x600-ips-boz-wi-fi-miks747,https://strgimgr.b-cdn.net/img/product/280/bdc43b39-ad94-4efb-b945-8b9282c7a5f2.jpeg,15
Planşet Discover Note 20 Plus 10.1 8GB/512GB Blue,945331,,200.00,,66.67,3 ay,https://birmarket.az/product/945331-planshet-discover-note-20-plus-10-1-8gb-512gb-blue,https://strgimgr.b-cdn.net/sized/280/945331-4cb45dfe949ab760a5ecd03f1418edce.jpg,15
Planşet oteeto TAB 10 Kids 128GB Green,985864,,209.99,,11.67,18 ay,https://birmarket.az/product/985864-planshet-oteeto-tab-10-kids-128gb-green,https://strgimgr.b-cdn.net/sized/280/985864-055748f5ae71dd12a020f4c457ba637f.jpg,15
Planşet Blackview Link 2 4GB/128G Midnight Black,1723433,350.00,379.90,-8 %,58.34,6 ay,https://birmarket.az/product/1723433-planshet-pda-blackview-link-2-4gb-128g-midnight-black,https://strgimgr.b-cdn.net/img/product/280/8d4fa8cb-c691-4e95-a7b8-cd8c9a7e774e.jpeg,15
Planşet Blackview Tab 20 Kids 4GB/64GB Bubble Blue,1723459,,350.00,,29.17,12 ay,https://birmarket.az/product/1723459-planshet-pda-blackview-tab-20-kids-4gb-64gb-bubble-blue,https://strgimgr.b-cdn.net/img/product/280/18467737-6229-4e64-96e9-29b66905621f.jpeg,15
"Planşet 10.1"" Android 15 12GB/64GB 2-in-1 Klaviatura, Siçan və Stylus ilə, Qara - miks2000",1890803,199.90,300.00,-33 %,11.11,18 ay,https://birmarket.az/product/1890803-planshet-10-1-android-15-12gb-64gb-2-in-1-klaviatura-sichan-ve-stylus-ile-qara-miks2000,https://strgimgr.b-cdn.net/img/product/280/4ff34308-155b-4347-a9f4-192db698dab4.jpeg,15
Planşet Nodizz NPAD99 Like,1806857,205.00,230.00,-11 %,11.39,18 ay,https://birmarket.az/product/1806857-nodizz-npad99-like,https://strgimgr.b-cdn.net/img/product/280/63dc0987-5b2f-4ce5-b0dc-b20ab3c2b7f9.jpeg,15
Planşet Lenosed A76 8GB/512GB Blue,1514938,128.97,200.00,-36 %,7.17,18 ay,https://birmarket.az/product/1514938-planshet-lenosed-a76-8gb-512gb-blue-lenoseda,https://strgimgr.b-cdn.net/img/product/280/e4edc41e-06d1-4906-abec-48f462840d41.jpeg,15
Planşet Atouch Q38 Lite 7 8GB/256GB Purple,1515067,98.00,129.00,-24 %,5.45,18 ay,https://birmarket.az/product/1515067-planshet-atouch-q38-lite-7-inch-8gb-256gb-pruple-kids,https://strgimgr.b-cdn.net/img/product/280/055c1f8c-84ec-4525-af94-ac1cbf5917e4.jpeg,15
Planşet Modio M43 8GB/512GB,1459252,148.89,200.00,-26 %,8.28,18 ay,https://birmarket.az/product/1459252-planshet-modio-m43-8gb-512gb,https://strgimgr.b-cdn.net/img/product/280/4f3ae400-3168-4875-be5c-e2eb8f202bd7.jpeg,15
Planşet ATOUCH KT5 Max Red,1811391,129.00,220.00,-41 %,7.17,18 ay,https://birmarket.az/product/1811391-atouch-kt5-max-red,https://strgimgr.b-cdn.net/img/product/280/c5a4eba3-3fdf-405b-9d11-70fbb582c690.jpeg,15
Planşet Discover Note 18 Plus 8GB/128GB Grey,1815278,199.00,350.00,-43 %,11.06,18 ay,https://birmarket.az/product/1815278-discover-note-18-plus-grey,https://strgimgr.b-cdn.net/img/product/280/f98d130d-f09f-45a6-bf7e-e785e7b1dbfd.jpeg,15
